DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Feb-2026,EQ,"6,141.00","6,200.00","6,054.00","6,185.00","6,177.00","6,168.50","6,140.13","7,071.50","4,955.00",299364,"1,83,81,34,184.50",38739
12-Feb-2026,EQ,"6,448.00","6,448.00","6,131.50","6,386.50","6,173.50","6,185.00","6,229.74","7,071.50","4,955.00",1200795,"7,48,06,34,727.00",104048
11-Feb-2026,EQ,"6,194.00","6,793.00","6,126.00","6,175.50","6,394.50","6,386.50","6,281.96","7,071.50","4,955.00",1263189,"7,93,53,03,881.00",74744
10-Feb-2026,EQ,"6,153.00","6,228.00","6,151.00","6,113.50","6,153.00","6,175.50","6,185.85","7,071.50","4,955.00",237887,"1,47,15,33,497.00",48216
09-Feb-2026,EQ,"6,079.00","6,150.00","6,041.00","6,024.50","6,140.00","6,113.50","6,090.12","7,071.50","4,955.00",219396,"1,33,61,48,507.00",40841
06-Feb-2026,EQ,"6,081.50","6,099.50","5,939.00","6,141.50","6,025.00","6,024.50","5,991.10","7,071.50","4,955.00",433945,"2,59,98,07,936.00",49561
05-Feb-2026,EQ,"6,054.00","6,173.00","5,936.00","6,054.50","6,126.00","6,141.50","6,055.72","7,071.50","4,955.00",370561,"2,24,40,14,225.50",41464
04-Feb-2026,EQ,"6,225.00","6,225.00","6,021.50","6,209.00","6,060.00","6,054.50","6,074.44","7,071.50","4,955.00",327213,"1,98,76,34,857.50",46668
03-Feb-2026,EQ,"6,150.00","6,304.50","6,150.00","5,952.50","6,194.00","6,209.00","6,237.46","7,071.50","4,955.00",454227,"2,83,32,23,178.00",51236
02-Feb-2026,EQ,"6,056.00","6,056.50","5,890.00","6,056.00","5,968.50","5,952.50","5,943.87","7,071.50","4,955.00",400656,"2,38,14,46,903.00",41131
01-Feb-2026,EQ,"6,080.50","6,120.00","5,940.50","6,051.00","6,002.00","6,056.00","6,054.93","7,071.50","4,955.00",144120,"87,26,36,947.50",16303
30-Jan-2026,EQ,"6,041.00","6,080.00","5,974.50","6,041.00","6,025.50","6,051.00","6,032.74","7,071.50","4,955.00",347165,"2,09,43,57,561.00",45589
29-Jan-2026,EQ,"6,181.50","6,222.00","5,991.50","6,188.00","6,040.00","6,041.00","6,063.17","7,071.50","4,955.00",405502,"2,45,86,29,543.00",60879
28-Jan-2026,EQ,"6,100.00","6,256.00","6,062.00","6,056.00","6,217.50","6,188.00","6,150.03","7,071.50","4,955.00",335259,"2,06,18,52,589.00",33715
27-Jan-2026,EQ,"6,065.50","6,087.50","6,000.00","6,011.50","6,055.00","6,056.00","6,052.64","7,071.50","4,955.00",367912,"2,22,68,39,112.50",43039
23-Jan-2026,EQ,"6,099.50","6,145.00","5,987.00","6,071.00","6,009.50","6,011.50","6,034.13","7,071.50","4,955.00",460503,"2,77,87,33,716.50",49529
22-Jan-2026,EQ,"6,021.00","6,135.00","6,010.00","6,010.00","6,088.00","6,071.00","6,079.29","7,071.50","4,955.00",372206,"2,26,27,46,597.50",23667
21-Jan-2026,EQ,"6,005.00","6,092.50","5,955.00","6,013.00","6,002.50","6,010.00","6,017.15","7,071.50","4,955.00",324388,"1,95,18,91,414.00",33462
20-Jan-2026,EQ,"6,142.50","6,163.50","6,000.00","6,140.00","6,011.00","6,013.00","6,076.89","7,071.50","4,955.00",204440,"1,24,23,59,912.50",24431
19-Jan-2026,EQ,"6,236.00","6,257.50","6,100.00","6,236.00","6,140.00","6,140.00","6,156.94","7,071.50","4,955.00",351743,"2,16,56,59,678.00",39140
16-Jan-2026,EQ,"6,355.50","6,384.00","6,227.50","6,355.50","6,237.00","6,236.00","6,290.91","7,071.50","4,955.00",409423,"2,57,56,42,984.50",33189
14-Jan-2026,EQ,"6,405.00","6,462.00","6,345.50","6,436.50","6,351.00","6,355.50","6,394.98","7,071.50","4,955.00",524643,"3,35,50,83,135.50",36721
13-Jan-2026,EQ,"6,461.00","6,524.00","6,372.00","6,485.50","6,430.00","6,436.50","6,424.79","7,071.50","4,955.00",253726,"1,63,01,36,107.50",32700
12-Jan-2026,EQ,"6,635.00","6,635.50","6,340.00","6,616.50","6,489.50","6,485.50","6,433.36","7,071.50","4,955.00",665870,"4,28,37,81,506.00",63761
09-Jan-2026,EQ,"6,600.00","6,657.00","6,529.50","6,600.50","6,588.00","6,616.50","6,600.36","7,071.50","4,955.00",351042,"2,31,70,05,112.50",31233
08-Jan-2026,EQ,"6,645.00","6,700.00","6,580.50","6,642.50","6,608.00","6,600.50","6,627.84","7,071.50","4,955.00",331547,"2,19,74,42,079.50",35143
07-Jan-2026,EQ,"6,680.00","6,731.50","6,613.00","6,642.50","6,647.00","6,642.50","6,665.04","7,071.50","4,955.00",423884,"2,82,52,02,480.00",40933
06-Jan-2026,EQ,"6,405.50","6,660.00","6,393.00","6,363.50","6,651.00","6,642.50","6,580.76","7,071.50","4,955.00",732441,"4,82,00,17,037.00",60299
05-Jan-2026,EQ,"6,400.00","6,447.00","6,345.00","6,392.50","6,348.50","6,363.50","6,390.58","7,071.50","4,955.00",145454,"92,95,35,243.50",20117
02-Jan-2026,EQ,"6,351.00","6,398.00","6,332.50","6,344.00","6,392.00","6,392.50","6,369.33","7,071.50","4,955.00",108528,"69,12,50,750.50",14089
01-Jan-2026,EQ,"6,398.00","6,413.50","6,300.00","6,392.50","6,346.00","6,344.00","6,332.03","7,071.50","4,955.00",146473,"92,74,70,785.50",14323
31-Dec-2025,EQ,"6,499.50","6,499.50","6,366.00","6,360.50","6,398.00","6,392.50","6,395.20","7,071.50","4,955.00",273233,"1,74,73,80,147.50",29564
30-Dec-2025,EQ,"6,410.00","6,500.00","6,285.00","6,390.50","6,480.50","6,360.50","6,351.81","7,071.50","4,955.00",1927570,"12,24,35,64,489.50",100445
29-Dec-2025,EQ,"6,450.00","6,454.50","6,371.00","6,427.50","6,410.00","6,390.50","6,395.02","7,071.50","4,955.00",244981,"1,56,66,58,566.00",30473
26-Dec-2025,EQ,"6,495.00","6,547.00","6,402.00","6,496.50","6,430.00","6,427.50","6,454.33","7,071.50","4,955.00",252704,"1,63,10,35,276.50",34331
24-Dec-2025,EQ,"6,500.00","6,580.00","6,486.00","6,476.50","6,494.00","6,496.50","6,537.11","7,071.50","4,955.00",252785,"1,65,24,84,568.00",37827
23-Dec-2025,EQ,"6,521.50","6,552.00","6,448.00","6,511.50","6,480.00","6,476.50","6,491.68","7,071.50","4,955.00",192477,"1,24,94,99,826.50",31850
22-Dec-2025,EQ,"6,500.00","6,543.00","6,450.50","6,478.50","6,510.00","6,511.50","6,514.46","7,071.50","4,955.00",255434,"1,66,40,14,537.00",55454
19-Dec-2025,EQ,"6,410.00","6,598.00","6,408.50","6,380.00","6,460.00","6,478.50","6,516.12","7,071.50","4,955.00",785205,"5,11,64,92,017.00",72437
18-Dec-2025,EQ,"6,300.00","6,437.00","6,281.00","6,293.00","6,388.00","6,380.00","6,377.83","7,071.50","4,955.00",396678,"2,52,99,44,004.50",28375
17-Dec-2025,EQ,"6,312.00","6,374.50","6,280.50","6,335.50","6,290.00","6,293.00","6,323.41","7,071.50","4,955.00",194825,"1,23,19,58,301.00",31949
16-Dec-2025,EQ,"6,348.00","6,375.00","6,283.00","6,347.50","6,333.50","6,335.50","6,316.94","7,071.50","4,955.00",169831,"1,07,28,11,811.50",32025
15-Dec-2025,EQ,"6,410.00","6,416.00","6,330.50","6,426.50","6,365.00","6,347.50","6,370.89","7,071.50","4,955.00",131176,"83,57,07,261.00",24951
12-Dec-2025,EQ,"6,430.00","6,519.00","6,410.00","6,430.00","6,419.00","6,426.50","6,442.07","7,071.50","4,955.00",128635,"82,86,75,486.00",17442
11-Dec-2025,EQ,"6,300.50","6,498.00","6,274.00","6,294.50","6,422.00","6,430.00","6,426.74","7,071.50","4,955.00",264850,"1,70,21,21,400.00",44762
10-Dec-2025,EQ,"6,294.00","6,407.00","6,279.50","6,294.00","6,306.00","6,294.50","6,348.17","7,071.50","4,955.00",270852,"1,71,94,15,380.00",31578
09-Dec-2025,EQ,"6,320.00","6,341.50","6,265.00","6,328.50","6,272.00","6,294.00","6,297.83","7,071.50","4,955.00",236524,"1,48,95,88,499.50",32590
08-Dec-2025,EQ,"6,486.00","6,486.00","6,269.50","6,473.50","6,327.00","6,328.50","6,340.68","7,071.50","4,955.00",179082,"1,13,55,02,132.00",24619
05-Dec-2025,EQ,"6,467.00","6,486.50","6,394.50","6,469.00","6,486.00","6,473.50","6,447.16","7,071.50","4,955.00",148911,"96,00,52,708.00",22857
04-Dec-2025,EQ,"6,455.00","6,492.50","6,413.00","6,455.00","6,413.00","6,469.00","6,469.64","7,071.50","4,955.00",200558,"1,29,75,38,656.00",19816
03-Dec-2025,EQ,"6,419.50","6,467.50","6,342.50","6,417.50","6,460.00","6,455.00","6,429.04","7,071.50","4,955.00",278865,"1,79,28,35,512.50",36952
02-Dec-2025,EQ,"6,400.50","6,453.50","6,370.50","6,422.50","6,401.50","6,417.50","6,411.09","7,071.50","4,955.00",151910,"97,39,08,897.00",22149
01-Dec-2025,EQ,"6,500.50","6,524.50","6,404.50","6,477.00","6,419.50","6,422.50","6,448.12","7,071.50","4,955.00",100192,"64,60,50,217.00",17137
28-Nov-2025,EQ,"6,500.00","6,568.00","6,434.50","6,490.50","6,461.50","6,477.00","6,466.70","7,071.50","4,955.00",250130,"1,61,75,16,868.50",27940
27-Nov-2025,EQ,"6,514.50","6,542.00","6,451.00","6,510.00","6,498.00","6,490.50","6,490.66","7,071.50","4,955.00",95681,"62,10,32,508.00",17187
26-Nov-2025,EQ,"6,417.50","6,530.00","6,411.50","6,412.00","6,525.00","6,510.00","6,491.42","7,071.50","4,955.00",126970,"82,42,15,279.50",15917
25-Nov-2025,EQ,"6,355.00","6,443.00","6,341.00","6,359.00","6,410.00","6,412.00","6,397.84","7,071.50","4,955.00",179873,"1,15,07,99,271.50",23201
24-Nov-2025,EQ,"6,364.00","6,382.50","6,322.00","6,373.00","6,375.00","6,359.00","6,353.73","7,071.50","4,955.00",393803,"2,50,21,18,571.00",38604
21-Nov-2025,EQ,"6,462.00","6,462.00","6,355.50","6,462.50","6,360.00","6,373.00","6,399.88","7,071.50","4,955.00",130843,"83,73,79,876.50",18316
20-Nov-2025,EQ,"6,495.00","6,497.50","6,433.00","6,454.00","6,470.00","6,462.50","6,459.05","7,071.50","4,955.00",114162,"73,73,77,868.50",21848
19-Nov-2025,EQ,"6,510.00","6,512.00","6,434.00","6,473.50","6,443.00","6,454.00","6,461.71","7,071.50","4,955.00",128134,"82,79,64,532.50",22887
18-Nov-2025,EQ,"6,485.00","6,552.00","6,456.00","6,518.50","6,470.50","6,473.50","6,495.46","7,071.50","4,955.00",162830,"1,05,76,55,900.00",18380
17-Nov-2025,EQ,"6,528.00","6,559.00","6,476.00","6,511.50","6,546.00","6,518.50","6,515.18","7,071.50","4,955.00",242726,"1,58,14,02,821.50",30400
14-Nov-2025,EQ,"6,584.00","6,632.00","6,481.00","6,593.50","6,520.00","6,511.50","6,558.38","7,071.50","4,955.00",147365,"96,64,75,643.00",19437
13-Nov-2025,EQ,"6,525.50","6,645.00","6,473.00","6,520.00","6,600.00","6,593.50","6,552.16","7,071.50","4,955.00",397401,"2,60,38,36,602.00",41142
12-Nov-2025,EQ,"6,570.50","6,574.50","6,481.00","6,539.50","6,520.00","6,520.00","6,516.98","7,071.50","4,955.00",476290,"3,10,39,73,125.50",41433
11-Nov-2025,EQ,"6,711.00","6,725.00","6,489.00","6,691.50","6,528.00","6,539.50","6,548.60","7,071.50","4,955.00",388972,"2,54,72,21,919.50",50860
10-Nov-2025,EQ,"6,700.00","6,748.00","6,636.50","6,656.50","6,706.00","6,691.50","6,686.37","7,071.50","4,955.00",418569,"2,79,87,05,791.50",41074
07-Nov-2025,EQ,"6,874.50","6,892.00","6,601.50","6,883.50","6,607.00","6,656.50","6,732.24","7,071.50","4,955.00",855609,"5,76,01,62,326.00",82443
06-Nov-2025,EQ,"6,792.50","6,904.50","6,764.00","6,804.50","6,875.00","6,883.50","6,841.38","7,071.50","4,955.00",721954,"4,93,91,60,684.50",56418
04-Nov-2025,EQ,"6,803.00","6,866.00","6,757.00","6,804.00","6,818.00","6,804.50","6,807.22","7,071.50","4,955.00",801413,"5,45,53,96,699.00",48503
03-Nov-2025,EQ,"6,738.00","6,861.50","6,732.00","6,738.00","6,790.00","6,804.00","6,809.83","7,071.50","4,955.00",499591,"3,40,21,30,077.00",47962
31-Oct-2025,EQ,"6,642.00","6,775.00","6,608.50","6,655.00","6,750.00","6,738.00","6,704.63","7,071.50","4,955.00",507645,"3,40,35,69,976.50",54319
30-Oct-2025,EQ,"6,545.00","6,695.00","6,536.50","6,512.00","6,645.00","6,655.00","6,630.90","7,071.50","4,955.00",537064,"3,56,12,15,307.00",48783
29-Oct-2025,EQ,"6,450.00","6,538.50","6,450.00","6,438.50","6,508.50","6,512.00","6,489.07","7,071.50","4,955.00",325673,"2,11,33,16,306.00",33427
28-Oct-2025,EQ,"6,495.00","6,514.50","6,383.00","6,490.00","6,430.00","6,438.50","6,430.94","7,071.50","4,955.00",305957,"1,96,75,90,078.50",40173
27-Oct-2025,EQ,"6,610.00","6,610.00","6,468.50","6,593.00","6,490.00","6,490.00","6,499.39","7,071.50","4,955.00",342190,"2,22,40,26,067.00",35837
24-Oct-2025,EQ,"6,564.00","6,675.00","6,535.00","6,565.50","6,610.00","6,593.00","6,567.34","7,071.50","4,955.00",250640,"1,64,60,38,048.00",33372
23-Oct-2025,EQ,"6,600.00","6,627.50","6,548.50","6,587.00","6,564.00","6,565.50","6,588.25","7,071.50","4,955.00",286780,"1,88,93,78,496.00",26489
21-Oct-2025,EQ,"6,648.00","6,657.00","6,553.00","6,604.00","6,562.00","6,587.00","6,613.95","7,071.50","4,955.00",32977,"21,81,08,290.00",4022
20-Oct-2025,EQ,"6,645.00","6,669.00","6,570.50","6,621.50","6,618.00","6,604.00","6,608.51","7,071.50","4,955.00",368513,"2,43,53,20,393.00",24099
17-Oct-2025,EQ,"6,580.00","6,647.00","6,556.50","6,600.50","6,620.00","6,621.50","6,610.20","7,071.50","4,955.00",302575,"2,00,00,82,349.00",36676
16-Oct-2025,EQ,"6,573.00","6,632.50","6,538.50","6,573.00","6,584.50","6,600.50","6,597.44","7,071.50","4,955.00",335444,"2,21,30,70,406.00",30791
15-Oct-2025,EQ,"6,580.00","6,608.50","6,527.00","6,561.00","6,556.00","6,573.00","6,564.26","7,071.50","4,955.00",462127,"3,03,35,20,568.00",40163
14-Oct-2025,EQ,"6,570.00","6,585.00","6,495.00","6,556.00","6,550.00","6,561.00","6,550.55","7,071.50","4,955.00",321275,"2,10,45,28,653.50",45278
13-Oct-2025,EQ,"6,465.50","6,620.00","6,439.50","6,474.50","6,565.00","6,556.00","6,562.68","7,071.50","4,955.00",905107,"5,93,99,29,894.00",77982
